Episode: 1, Steps: 200, Reward: -1657.6167251260727, Best reward: -1337.3337259786836, Avg reward: -1497.475225552378
Episode: 0, Steps: 200, Reward: -1381.6122108327907, Best reward: -inf, Avg reward: -1381.6122108327907
Episode: 1, Steps: 200, Reward: -1262.9754336589806, Best reward: -1381.6122108327907, Avg reward: -1322.2938222458856
Episode: 2, Steps: 200, Reward: -1226.8194126448898, Best reward: -1262.9754336589806, Avg reward: -1290.4690190455538
Episode: 3, Steps: 200, Reward: -1401.4782611757526, Best reward: -1226.8194126448898, Avg reward: -1318.2213295781035
Episode: 4, Steps: 200, Reward: -1353.7005516098636, Best reward: -1226.8194126448898, Avg reward: -1325.3171739844554
Episode: 5, Steps: 200, Reward: -1296.8299825509882, Best reward: -1226.8194126448898, Avg reward: -1320.5693087455443
Episode: 6, Steps: 200, Reward: -1241.7620785011816, Best reward: -1226.8194126448898, Avg reward: -1309.3111329963497
Episode: 7, Steps: 200, Reward: -1200.198030253283, Best reward: -1226.8194126448898, Avg reward: -1295.6719951534662
Episode: 8, Steps: 200, Reward: -1444.632471862696, Best reward: -1200.198030253283, Avg reward: -1312.2231592322696
Episode: 9, Steps: 200, Reward: -1117.8183162003206, Best reward: -1200.198030253283, Avg reward: -1292.7826749290748
Episode: 10, Steps: 200, Reward: -1132.5662812086632, Best reward: -1117.8183162003206, Avg reward: -1278.2175482272191
Episode: 11, Steps: 200, Reward: -1001.1461714783228, Best reward: -1117.8183162003206, Avg reward: -1255.1282668314777
Episode: 12, Steps: 200, Reward: -1001.6614696014635, Best reward: -1001.1461714783228, Avg reward: -1235.6308208907076
Episode: 13, Steps: 200, Reward: -1042.4204102213284, Best reward: -1001.1461714783228, Avg reward: -1221.8300772714663
Episode: 14, Steps: 200, Reward: -1211.4060199733033, Best reward: -1001.1461714783228, Avg reward: -1221.1351401182553
Episode: 15, Steps: 200, Reward: -1378.7693171205997, Best reward: -1001.1461714783228, Avg reward: -1230.9872761809017
Episode: 16, Steps: 200, Reward: -1054.9729876635151, Best reward: -1001.1461714783228, Avg reward: -1220.6334945034084
Episode: 17, Steps: 200, Reward: -1578.9119758829052, Best reward: -1001.1461714783228, Avg reward: -1240.537854580047
Episode: 18, Steps: 200, Reward: -1051.1092156776358, Best reward: -1001.1461714783228, Avg reward: -1230.567926216762
Episode: 19, Steps: 200, Reward: -1082.9562135994945, Best reward: -1001.1461714783228, Avg reward: -1223.1873405858987
Episode: 20, Steps: 200, Reward: -1010.9340009550842, Best reward: -1001.1461714783228, Avg reward: -1213.080038698717
Episode: 21, Steps: 200, Reward: -1035.006919244073, Best reward: -1001.1461714783228, Avg reward: -1204.9858059962332
